"Kushi Tsuru","Mon-Sun 11:30 am - 9:00 pm"
"Osakaya Restaurant","Mon-Thu, Sun 11:30 am - 9:00 pm  / Fri-Sat 11:30 am - 9:30 pm"
"The Stinking Rose","Mon-Thu, Sun 11:30 am - 10:00 pm  / Fri-Sat 11:30 am - 11:00 pm"
"McCormick & Kuleto's","Mon-Thu, Sun 11:30 am - 10:00 pm  / Fri-Sat 11:30 am - 11:00 pm"
"Mifune Restaurant","Mon-Sun 11:00 am - 10:00 pm"
"New Delhi Indian Restaurant","Mon-Sat 11:30 am - 10:00 pm  / Sun 5:30 pm - 10:00 pm"
"Iroha Restaurant","Mon-Thu, Sun 11:30 am - 9:30 pm  / Fri-Sat 11:30 am - 10:00 pm"
"Rose Pistola","Mon-Thu 11:30 am - 10:00 pm  / Fri-Sun 11:30 am - 11:00 pm"
"Alioto's Restaurant","Mon-Sun 11:00 am - 11:00 pm"
"Canton Seafood & Dim Sum Restaurant","Mon-Fri 10:30 am - 9:30 pm  / Sat-Sun 10:00 am - 9:30 pm"
"All Season Restaurant","Mon-Fri 10:00 am - 9:30 pm  / Sat-Sun 9:30 am - 9:30 pm"
"Bombay Indian Restaurant","Mon-Sun 11:30 am - 10:30 pm"
"Sam's Grill & Seafood Restaurant","Mon-Fri 11:00 am - 9:00 pm  / Sat 5:00 pm - 9:00 pm"
"2G Japanese Brasserie","Mon-Thu, Sun 11:00 am - 10:00 pm  / Fri-Sat 11:00 am - 11:00 pm"
"Restaurant Lulu","Mon-Thu, Sun 11:30 am - 9:00 pm  / Fri-Sat 11:30 am - 10:00 pm"
"Herbivore","Mon-Thu, Sun 9:00 am - 10:00 pm  / Fri-Sat 9:00 am - 11:00 pm"
"Penang Garden","Mon-Thu 11:00 am - 10:00 pm  / Fri-Sat 10:00 am - 10:30 pm  / Sun 11:00 am - 11:00 pm"
"John's Grill","Mon-Sat 11:00 am - 10:00 pm  / Sun 12:00 pm - 10:00 pm"
"Quan Bac","Mon-Sun 11:00 am - 10:00 pm"
"Blu Restaurant","Mon-Fri 11:30 am - 10:00 pm  / Sat-Sun 7:00 am - 3:00 pm"
"Shanghai China Restaurant","Mon-Sun 11:00 am - 9:30 pm"
"Tres","Mon-Thu, Sun 11:30 am - 10:00 pm  / Fri-Sat 11:30 am - 11:00 pm"
"Isobune Sushi","Mon-Sun 11:30 am - 9:30 pm"
"Far East Cafe","Mon-Sun 11:30 am - 10:00 pm"
"Parallel 37","Mon-Sun 11:30 am - 10:00 pm"
"Bai Thong Thai Cuisine","Mon-Sat 11:00 am - 11:00 pm  / Sun 11:00 am - 10:00 pm"
"Alhamra","Mon-Sun 11:00 am - 11:00 pm"
"A-1 Cafe Restaurant","Mon, Wed-Sun 11:00 am - 10:00 pm"
"Nick's Lighthouse","Mon-Sun 11:00 am - 10:30 pm"
"Paragon Restaurant & Bar","Mon-Fri 11:30 am - 10:00 pm  / Sat 5:30 pm - 10:00 pm"
"Chili Lemon Garlic","Mon-Fri 11:00 am - 10:00 pm  / Sat-Sun 5:00 pm - 10:00 pm"
"Bow Hon Restaurant","Mon-Sun 11:00 am - 10:30 pm"
"San Dong House","Mon-Sun 11:00 am - 11:00 pm"
"Cesario's","Mon-Thu, Sun 11:30 am - 10:00 pm  / Fri-Sat 11:30 am - 10:30 pm"
"Colombini Italian Cafe Bistro","Mon-Fri 12:00 pm - 10:00 pm  / Sat-Sun 5:00 pm - 10:00 pm"
"Soluna Cafe and Lounge","Mon-Fri 11:30 am - 10:00 pm  / Sat 5:00 pm - 10:00 pm"
"Tong Palace","Mon-Fri 9:00 am - 9:30 pm  / Sat-Sun 9:00 am - 10:00 pm"
"India Garden Restaurant","Mon-Sun 10:00 am - 11:00 pm"
"Sapporo-Ya Japanese Restaurant","Mon-Sat 11:00 am - 11:00 pm  / Sun 11:00 am - 10:30 pm"
"Santorini's Mediterranean Cuisine","Mon-Sun 8:00 am - 10:30 pm"
"Kyoto Sushi","Mon-Thu 11:00 am - 10:30 pm  / Fri 11:00 am - 11:00 pm  / Sat 11:30 am - 11:00 pm  / Sun 4:30 pm - 10:30 pm"
